step,timestamp,normal_reward,safe_reward,normal_lane_changes,safe_lane_changes,normal_q_loss,safe_q_loss,normal_policy_loss,safe_policy_loss,normal_mean_speed,safe_mean_speed,normal_collision_rate,safe_collision_rate
307,2024-12-03 22:36:21,72.70943005111413,463.21887484600023,0,0,0.3555648922920227,0.29133927822113037,1.3624911308288574,-3.761425018310547,78.07669435409814,89.95925775133847,0.022222222222222223,0.003816793893129771
395,2024-12-03 22:36:34,58.26235549050918,83.83529140903278,0,0,0.3207889795303345,0.8910245895385742,0.7622274160385132,-4.227975845336914,65.57187893821195,70.48244754183455,0.02702702702702703,0.0196078431372549
488,2024-12-03 22:36:47,76.51051464711836,74.41209325779656,0,0,0.20199516415596008,0.3157461881637573,0.35408344864845276,-4.539374351501465,76.61950210153772,69.80366855391053,0.02127659574468085,0.021739130434782608
611,2024-12-03 22:37:03,41.035199198526364,164.14387029154287,0,0,0.5683095455169678,0.21954801678657532,-0.0684150904417038,-5.45310115814209,52.69580978161524,94.98924387348033,0.03571428571428571,0.010526315789473684
717,2024-12-03 22:37:17,50.38228045817195,124.17694472575829,0,0,0.2638702690601349,0.7065198421478271,-0.3899281322956085,-6.0114827156066895,56.348966707060285,89.66649433601651,0.030303030303030304,0.0136986301369863
824,2024-12-03 22:37:32,46.672448389414164,129.51450715034014,0,0,0.45956143736839294,0.7254098653793335,-0.5313319563865662,-6.435640811920166,56.065612475693065,95.03281836275296,0.03225806451612903,0.013157894736842105
943,2024-12-03 22:37:48,41.065763593674404,156.7151288507009,0,0,0.42608392238616943,0.28410041332244873,-0.5491791367530823,-7.128016471862793,53.45325421167322,90.94920009593493,0.03571428571428571,0.01098901098901099
1082,2024-12-03 22:38:06,39.29914981240202,193.74939642461024,0,0,0.15812674164772034,1.3735076189041138,-0.9444209933280945,-8.245905876159668,52.03064106695935,56.6774132679317,0.037037037037037035,0.008928571428571428
1148,2024-12-03 22:38:15,42.93718879077839,57.49250406946139,0,0,0.5405067205429077,0.7340366840362549,-1.1313726902008057,-8.5939302444458,54.295563842463565,48.56758258598103,0.034482758620689655,0.02702702702702703
1217,2024-12-03 22:38:25,48.30484203078447,57.40236594407665,0,0,0.14962603151798248,0.8506320714950562,-1.2944391965866089,-8.796442031860352,51.84104614924769,48.98643242517717,0.03125,0.02702702702702703
1284,2024-12-03 22:38:34,44.48359699236907,57.37658167860944,0,0,0.3594527244567871,0.19902631640434265,-1.3392305374145508,-9.272764205932617,42.46205272495233,49.47645315177518,0.03333333333333333,0.02702702702702703
1340,2024-12-03 22:38:42,35.21387499533736,46.409301105612215,0,0,0.7391740083694458,0.2558339834213257,-2.0852766036987305,-9.320343971252441,45.71772438874865,44.57547397800235,0.04,0.03225806451612903
1412,2024-12-03 22:38:51,42.510064230381865,68.9167431062552,0,0,0.46885859966278076,0.34174028038978577,-1.778897762298584,-9.785714149475098,38.62596934246978,58.509495449075686,0.034482758620689655,0.023255813953488372
1485,2024-12-03 22:39:01,29.88680620899028,83.94526342039919,0,0,0.2573849558830261,0.3530598282814026,-2.2978882789611816,-10.18336296081543,41.97411297612406,67.86641113662989,0.045454545454545456,0.0196078431372549
1570,2024-12-03 22:39:13,39.1367592154192,96.95032897585301,0,0,0.24932777881622314,0.237726628780365,-2.0105113983154297,-11.080289840698242,50.45275240238956,73.71818082809853,0.037037037037037035,0.017241379310344827
2000,2024-12-03 22:40:10,44.30358171936356,718.2833333333333,0,0,0.290693461894989,2.4023079872131348,-2.3135430812835693,-13.692176818847656,40.69980816310495,113.69112022104231,0.03333333333333333,0.0
2223,2024-12-03 22:40:40,35.07955513005673,349.5159677335273,0,0,1.338937759399414,1.4044593572616577,-2.2484164237976074,-15.079883575439453,39.89066161073269,108.99340057353912,0.04,0.005050505050505051
2649,2024-12-03 22:41:37,37.09645471244681,718.2833333333333,0,0,0.36263787746429443,1.6060607433319092,-2.5243680477142334,-17.992433547973633,39.03697280103581,114.72269570478724,0.038461538461538464,0.0
3016,2024-12-03 22:42:26,35.36297776291267,603.5190670416052,0,0,0.4206109344959259,0.5518954992294312,-2.818584680557251,-20.295696258544922,42.218543352396225,94.4167019201702,0.04,0.0029239766081871343
3078,2024-12-03 22:42:35,31.088021366658765,61.58364863903338,0,0,0.676967978477478,4.53726863861084,-3.1500885486602783,-20.75766944885254,33.71728455479416,52.62369208384486,0.043478260869565216,0.02564102564102564
3153,2024-12-03 22:42:45,29.598752519252436,88.51217463272697,0,0,1.1198675632476807,0.5002709031105042,-2.9930782318115234,-21.183258056640625,40.130973680156714,75.24039054706982,0.045454545454545456,0.018867924528301886
3362,2024-12-03 22:43:13,33.491637477286574,326.2814630681757,0,0,0.08451975882053375,2.385462760925293,-3.3583288192749023,-22.486000061035156,44.01083596952633,106.91696903147655,0.041666666666666664,0.005405405405405406
3534,2024-12-03 22:43:36,33.031073816388336,259.59342472511696,0,0,0.10290180891752243,2.913109302520752,-3.702209234237671,-23.110239028930664,35.170143112869134,102.7324597503942,0.041666666666666664,0.006756756756756757
